Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Asclepias tuberosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera
0,0,5.068529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.3038888888888889,0,0.5816666666666667,0.45999999999999996,0,0,1.4349999999999998,0.5194444444444444,3.876111111111111,0,3.1705555555555556,1.6861111111111111,1.8822222222222225,3.9722222222222223,0
2.0029411764705882,0,0.3223529411764706,0.20588235294117646,0,0,0,0,0.5158823529411765,1.5017647058823531,2.5894117647058827,0,3.114705882352941,1.7658823529411765,0,1.9882352941176469,0
0,0,0.7177960526315789,0,0,0,0,0,1.141200657894737,1.2889309210526316,1.104391447368421,0,4.032434210526316,2.4779934210526315,2.3083881578947367,1.4603289473684211,0
4.027647058823529,6.2,0.33235294117647063,0,0,2.2470588235294118,0,0,0,2.34,4.251176470588235,0,3.678235294117647,0.5941176470588235,0.6658823529411765,1.4988235294117647,0
2.2715,0,0.2165,0.7035,0,1.506,0,0,2.2885,0.7375,0,0,0,2.6165,0.8324999999999999,0.649,0
0,1.2105882352941175,0.38411764705882356,0,0,1.1588235294117646,0,0,1.7647058823529411,0,1.688235294117647,0,5.227647058823529,0.5576470588235294,0.48058823529411765,2.623529411764706,0.39
2.579230769230769,0,0.44461538461538463,0,0,3.2484615384615383,0,0,5.352307692307692,0,0.5515384615384615,0,13.875384615384615,0,1.8807692307692307,1.363076923076923,0
0,4.6135294117647065,0.9223529411764706,0,0,0.7958823529411765,0,0,6.161764705882353,0,1.198235294117647,0,5.568823529411765,0.7570588235294117,0.5823529411764706,1.4605882352941175,0
0,0,0.8357142857142856,0,0,0,0,0,0,0,0,2.4549999999999996,0.6228571428571429,1.9192857142857143,0.24857142857142858,0,0.38357142857142856
0,0,0.976875,0,0,3.829375,0,0,0,0,0,0,0.865625,0.63125,3.273125,1.165625,0
0,0,0.2275,0,0,0,0,0,0,0,2.9891666666666663,0,11.108333333333334,0,0,2.6233333333333335,0
0,1.056,0.21280000000000002,0,0,0,1.4312,0.49,3.056,0,0,0,0,0,0,0,0.7552
0,3.0585714285714287,0.7307142857142858,1.2085714285714286,0,4.597857142857143,1.3942857142857144,2.0414285714285714,0,0,0,0,0,1.9442857142857142,0,1.0714285714285714,3.6807142857142856
0,0,0.18947368421052632,0,0,0.6078947368421053,3.6700000000000004,1.8657894736842107,0,0,0,0,0,0,0,1.1036842105263158,0
0,0.521875,0.839375,0.341875,0,0,0,0.3425,0,0,0.485625,0,0,0.648125,6.276875,0.739375,0.503125
3.260588235294118,0,0.49588235294117644,0,0,3.4529411764705884,0,0,1.6276470588235294,0,0,0,0,1.5676470588235294,0,0,0
5.556666666666667,0,0.6933333333333334,0,0,0,0,0,7.391333333333334,0,1.0953333333333333,0,0,4.513333333333334,0,2.546666666666667,0
0.8894736842105262,0,0.4921052631578947,0,0,0,0,0,12.07,0,0,0.9247368421052632,0,0.9157894736842105,0,1.1526315789473685,0
0,4.755263157894737,1.8078947368421054,0,0,1.78,3.0631578947368423,0,0,0,0,0,0,0,0,1.063157894736842,0
6.8715,0,0.281,0,0,0,0,0,0,0,0,0,0,0,0.5565,0,3.186
0,4.683333333333334,0.5725,0,0,0,0,0,0,0,0,0,0,1.7025,0,0,0
0,0,0.8079999999999999,0,0,0,0,0,0,0,0,0,0,0,5.422,0,0
0,0,0,0,0,0,0,0,0,15.268197368421053,0,0,0,0,0,0,0
0,1.1085714285714285,0,0.18333333333333335,0.2642857142857143,0.41571428571428576,0,0,0,3.4928571428571424,0,0,5.63952380952381,0.6571428571428571,1.4485714285714286,0.9238095238095237,0
0,4.824761904761904,0,0,0,0,0,0.41571428571428576,2.8785714285714286,1.0204761904761905,0.49142857142857144,0.7438095238095238,1.810952380952381,0.8466666666666667,1.2714285714285714,1.7366666666666666,0
0.88875,0,0,0,0,0.409375,0,0,2.414375,2.801875,3.91125,0,2.22,1.50125,0.6125,1.873125,0.484375
0.759375,0,0,0,0,2.471875,0,0,5.255,4.366875,0,0,0.584375,1.183125,1.095625,0.575,1.1875
0,0.9164705882352941,0,0,0,1.6723529411764706,0,0,7.734117647058823,1.9223529411764706,0,0,2.14,1.1805882352941177,0,0.878235294117647,3.0423529411764707
