Leucanthemum vulgare,Centaurea jacea,Plantago lanceolata,Rumex acetosa,Festuca rubra,Holcus lanatus,Agrostis capillaris,Anthoxanthum odoratum
0,0,0,0,0,0,91.91833333333334,0
0,0,0,0,0,0,58.93,24.9
13.705,10.846666666666666,15.440000000000001,6.89,9.583333333333334,29.093333333333334,5.911666666666667,2.8016666666666667
0,24.99,0,0,0,38.64,27.34,4.48
30.98,34.58,0,0,0,0,14.92,8.55
12.36,0,0,0,47.07,0,13.65,11.42
0,0,47.19,0,24.81,0,20.68,6.67
0,0,59.67,3.99,0,0,0.56,11.82
0,37.3,0,0,0,0,36.16,0
30.87,14.97,0,0,30.63,0,13.13,0
27.82,22.58,0,0,0,32.13,5.11,0
0,0,0,0,62.03,0,37.67,0
0,0,19.7,0,13.14,19.83,4.26,0
0,0,0,1.65,15.55,53.8,15.8,0
0,0,32.22,19.42,44.4,0,1.59,0
0,0,0,0,0,52.07,21.17,0
0,0,19,1.71,0,37.91,5.16,0
31.18,0,0,0,0,0,46.79,0
22.52,0,44.39,9.3,0,0,24.19,0
0,0,37.96,0,0,0,24.64,0
0,0,0,0,0,0,0,62.535
0,55.54,0,0,0,0,0,29.75
0,24.32,0,0,16.46,42.07,0,4.23
0,40.06,0,19.87,50.25,0,0,12.23
0,18.49,0,7.46,0,65.7,0,1.49
34.64,20.55,0,21.54,0,0,0,13.84
0,0,0,0,94.03,0,0,19.96
16.83,0,22.81,0,22.91,0,0,6.73
0,0,0,0,0,74.45,0,4.18
8.64,0,25.16,0,0,28.21,0,4.09
39.06,0,0,0,0,0,0,20.3
0,0,0,36.4,0,0,0,52.73
0,98.68833333333333,0,0,0,0,0,0
0,31.72,0,1.41,14.15,37.35,0,0
13.74,13.63,38.54,0,35.06,0,0,0
0,22.48,33.52,9.64,37.01,0,0,0
0,16.73,0,0,0,52.18,0,0
21.02,13.03,0,16.82,0,40.73,0,0
57.2,63.72,0,0,0,0,0,0
0,41.67,43.3,0,0,0,0,0
0,89.9,0,28.24,0,0,0,0
0,0,0,0,107.18833333333333,0,0,0
0,0,0,0,11.51,49.7,0,0
8.58,0,31.26,0,14.9,32.7,0,0
44.6,0,0,0,43.05,0,0,0
0,0,45.28,0,39.47,0,0,0
0,0,0,12.61,114.09,0,0,0
0,0,0,0,0,64.18833333333333,0,0
15.89,0,18.22,2.44,0,27.3,0,0
0,0,25.78,0,0,36.69,0,0
0,0,0,1.93,0,71.35,0,0
67.86333333333333,0,0,0,0,0,0,0
19.87,0,30.09,0,0,0,0,0
52.28,0,0,21.63,0,0,0,0
0,0,52.73833333333333,0,0,0,0,0
0,0,45.94,14.88,0,0,0,0
0,0,0,67.69666666666667,0,0,0,0
