Leucanthemum vulgare,Centaurea jacea,Plantago lanceolata,Rumex acetosa,Festuca rubra,Holcus lanatus,Agrostis capillaris,Anthoxanthum odoratum
0,0,0,0,0,0,86.49833333333333,0
0,0,0,0,0,0,29.74,21.43
2.9825,40.415,15.4775,4.1025,7.4475,0.71,3.29,27.615000000000002
0.21,2.79,31.03,0,9.02,0,1.75,10.1
0.68,4.19,25.71,0.07,11.25,0,1.76,19.91
0,73.24,0,0,0,0.22,4.07,40.25
3.82,75.1,0,0,0,0,2.68,39.13
20.32,0,0,0,11.04,0,10.79,13.6
0,0,15.27,0,7.87,0,8.75,14.71
0,0,16.26,0.17,0,0,16.76,28.3
0,63.5,0,0,0,0,47.93,0
7.11,91.35,0,0,29.79,0,4.94,0
6.44,46.22,0,0,0,4.7,16.24,0
0,0,0,0,8.04,0,79.73,0
0,0,24.18,0,6.95,0.15,10.56,0
0,0,0,4.62,44.5,7.34,11.68,0
0,0,15.43,3.7,26.28,0,22.54,0
0,0,0,0,0,15.69,52.97,0
0,0,21.06,44.41,0,23.21,33.76,0
36.15,0,0,0,0,0,75.2,0
3.35,0,30.74,3.89,0,0,18.12,0
0,0,26.99,0,0,0,49.2,0
0,0,0,0,0,0,0,28.801666666666666
0,39.74,0,0,0,0,0,34.46
0,36.1,0,0,2.74,0.38,0,16.52
0,91.59,0,2.09,2.56,0,0,25.02
3.86,72.49,0,0.06,0,0,0,21.82
0,0,0,0,26.91,0,0,29.04
0.68,0,9.1,0,19.62,0,0,16.79
0,0,0,0,0,0.38,0,19.89
5.86,0,0,0,0,0,0,33.4
1.83,0,37.29,0,0,0,0,15.22
0,0,0,1.97,0,0,0,38.79
0,64.015,0,0,0,0,0,0
0,46.31,0,12.43,18.22,22.62,0,0
0,16.8,42.51,1.96,43.02,0,0,0
0,68.22,0,0,0,9.48,0,0
5.08,62.92,0,16.51,0,17.03,0,0
16.09,42.03,0,0,0,0,0,0
0.1,66.05,5.5,0,0,0,0,0
0,35.84,33.78,0,0,0,0,0
0,116.28,0,2.72,0,0,0,0
0,0,0,0,57.805,0,0,0
0,0,0,0,47.39,3.23,0,0
0.37,0,22.57,0,39.66,0.31,0,0
20.53,0,0,0,51.68,0,0,0
0,0,40.98,0,15.03,0,0,0
0,0,0,13.6,48.19,0,0,0
0,0,0,0,0,39.38166666666667,0,0
1.67,0,26.4,1.39,0,9.14,0,0
0,0,34.23,0,0,16.22,0,0
0,0,0,13.1,0,31.77,0,0
12.05,0,0,0,0,0,0,0
6.58,0,9.77,0,0,0,0,0
21.9,0,0,30.54,0,0,0,0
0,0,34.028,0,0,0,0,0
0,0,30.52,1.4,0,0,0,0
0,0,0,19.768333333333334,0,0,0,0
