Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Asclepias tuberosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera,Elymus smithii
0,0,2.8392500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.10333333333333333,0,0,1.6533333333333333,0,0.2544666666666667,0,1.3811333333333333,0,0,1.5322,1.23,0,0,1.5911333333333333,0
0,0,1.2101304347826087,0,0,1.5391304347826087,0,0,0.4876956521739131,1.923913043478261,2.1159565217391303,0,2.7927391304347826,1.6616086956521738,0.8369565217391305,0.47247826086956524,0.4673913043478261,0
0.8175833333333333,0,1.0325833333333334,0,0,0,0,0,0.3335416666666667,1.0860416666666668,5.6777083333333325,0,1.2924166666666668,2.0047916666666667,0,0.3567916666666667,0,0
0,2.5881176470588234,0.654,1.1898235294117647,0,1.2908823529411766,0,0,0,0.34952941176470587,3.3567647058823527,0,10.043117647058823,1.2145294117647059,2.4339411764705883,2.034235294117647,0,0.11588235294117646
0,0,0.8231666666666667,3.4037222222222225,0,0.6518333333333334,0,0,0,0.2361111111111111,9.203722222222222,0,3.672222222222222,2.2481666666666666,1.3323888888888888,0.8500000000000001,0,0
0,2.6453478260869567,0.3364347826086957,0,0,1.0483478260869565,0,0,0,0.4081739130434783,5.7139999999999995,0,1.8166086956521739,0.6977391304347825,1.8381739130434782,1.3343478260869566,0,0
0,0,0.41294444444444445,0,0,0.7870555555555555,0,0,0,0.7120555555555556,10.041666666666666,0,2.6268333333333334,0.7833333333333333,0.7555555555555555,2.0101666666666667,0,0
0,0,0.2604375,0,0,1.3823125,0,0,0,0.2635625,10.915625,0,9.70625,0,1.321875,0.2551875,0,0
0,1.4096315789473686,0.5342105263157895,0,0,0,0,0,0,0.22542105263157897,9.283315789473685,0,3.9342105263157894,0.7780526315789473,1.3921052631578947,1.9315789473684213,0,0
0,0,0.1495625,0,0,0,0,0,0,0.20375,12.0801875,0,1.9345625,1.532625,2.431125,2.18925,0,0
0,0,0.83065,3.899,0,1.17385,0,0,0.42765000000000003,2.28115,5.56335,0,0,1.97685,0.7654,0.8699999999999999,0,0
0,1.4242272727272727,0.1265,0,0,0,0,0,0.4530454545454546,0.5144090909090909,4.4014999999999995,0,0,2.3985000000000003,1.8045454545454547,0.8037727272727273,0,0
0,0,0.8107941176470588,0,0,0,0,0,0.5779411764705882,1.835794117647059,6.839705882352941,0,0,2.2661764705882352,0.47744117647058826,1.137735294117647,0,0
0,0,1.2901764705882353,3.822529411764706,0.29411764705882354,0,0,0,0.27647058823529413,0,6.9411764705882355,0,9.249,0.49117647058823527,0,0,0,0
0,0,1.2976428571428573,0,0,0,0.6821428571428572,0.10121428571428571,0.4178571428571428,0,0,0,1.7155,0.4642857142857143,0.40235714285714286,0,0,0
0,0.8944444444444445,0.9620555555555556,0.9259444444444446,0,1.4481666666666666,0,0.044444444444444446,0.21572222222222223,0,10.739833333333333,0,7.262944444444445,0,0.2296111111111111,1.3361111111111112,0,0
0,2.1954545454545453,0.18336363636363637,0,0,0,0,0,1.0606363636363636,0,0,0,1.7,0,0,0,1.7151818181818184,0
0,0,0.22,0,0,0.7666666666666667,0,0,0.24446666666666667,0,7.6578,0,4.133333333333334,3.783333333333333,0.6066666666666667,1.1833333333333333,0,0
0,0.72665,0.25165000000000004,0,0,0,0,0,1.37165,0,9.8025,0,2.1041499999999997,1.20585,0.9025000000000001,0.61665,0,0
0,0,1.2428571428571427,0,0,0,0,0,0,0,14.169071428571428,0,1.6142857142857143,0.8035714285714286,1.3452142857142857,0.7726428571428572,1.2249999999999999,0
0,2.5185,0.1315,0,0,0.9203888888888889,0,0,0,0,3.4787222222222223,0.7009444444444445,1.1629444444444443,1.2944444444444445,0.6398333333333333,1.865722222222222,0,0
0,1.6806842105263158,1.5017368421052633,0,0,1.844736842105263,0,0,0,0,7.969315789473685,0,3.287736842105263,0,4.851736842105264,2.4508947368421055,0,0
