Leucanthemum vulgare,Centaurea jacea,Plantago lanceolata,Rumex acetosa,Festuca rubra,Holcus lanatus,Agrostis capillaris,Anthoxanthum odoratum
0,0,0,0,0,0,172.22333333333333,0
0,0,0,0,0,0,102.2,36.33
7.488333333333333,4.305,20.761666666666667,4.8116666666666665,8.491666666666667,44.43833333333333,13.98,4.515
0,6.21,0,0,0,83.03,41.54,7.89
25.09,16.71,0,0,0,0,35.83,16.18
10.85,0,0,0,28.8,0,28.36,12.98
0,0,58.99,0,21.4,0,39.81,10.24
0,0,58.2,10.31,0,0,0.78,12.35
0,24.27,0,0,0,0,98.48,0
28.91,11.07,0,0,31.37,0,28.96,0
20.57,10.93,0,0,0,87.43,22.03,0
0,0,0,0,39.94,0,65.03,0
0,0,23.93,0,13.7,44.66,14.09,0
0,0,0,5.01,16.45,94.47,38.96,0
0,0,46.25,10.51,25.67,0,1.09,0
0,0,0,0,0,132.06,38.55,0
0,0,20,3.93,0,60.71,21.62,0
23.84,0,0,0,0,0,75.88,0
11.49,0,58.7,11.5,0,0,46.01,0
0,0,80.39,0,0,0,39.55,0
0,0,0,0,0,0,0,75.37333333333333
0,25.91,0,0,0,0,0,37.41
0,12.35,0,0,22.24,107.46,0,9.22
0,19.93,0,17.77,32.16,0,0,13.06
0,5.77,0,8.77,0,135.18,0,1.64
19.49,6.5,0,18.18,0,0,0,13.55
0,0,0,0,79.87,0,0,14.89
14.49,0,47.67,0,20.09,0,0,9.87
0,0,0,0,0,116.15,0,7.64
4.15,0,18.73,0,0,52.11,0,5.23
38.58,0,0,0,0,0,0,36.06
0,0,0,38.53,0,0,0,27.72
0,93.60166666666667,0,0,0,0,0,0
0,12.09,0,6.07,16.14,100.23,0,0
11.78,7.48,44.34,0,21.54,0,0,0
0,7.45,66.8,6.33,26.29,0,0,0
0,4.54,0,0,0,92.81,0,0
8.85,4.55,0,6.92,0,63.55,0,0
53.52,43.32,0,0,0,0,0,0
0,18.6,110.78,0,0,0,0,0
0,46.88,0,23.92,0,0,0,0
0,0,0,0,89.4,0,0,0
0,0,0,0,10.42,144.18,0,0
8.68,0,37.57,0,16.94,59.41,0,0
35.29,0,0,0,37.5,0,0,0
0,0,76.5,0,29.8,0,0,0
0,0,0,19.86,48.79,0,0,0
0,0,0,0,0,125.62666666666667,0,0
8.91,0,19.09,5.9,0,49.36,0,0
0,0,35.25,0,0,102.01,0,0
0,0,0,2.05,0,158.18,0,0
70.05666666666667,0,0,0,0,0,0,0
14.02,0,55.61,0,0,0,0,0
31.79,0,0,33.43,0,0,0,0
0,0,137.78,0,0,0,0,0
0,0,99.84,11.05,0,0,0,0
0,0,0,49.04833333333333,0,0,0,0
