Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Asclepias tuberosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera
0,0,1.0382793522267206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.966842105263158,1.9089473684210527,0,0.23842105263157895,0.33421052631578946,0,0,1.12,0.82,0.33789473684210525,0,8.648421052631578,0,0,1.2131578947368422,0
2.346875,0,0.805,0,0.57625,0,0,0,2.854375,0.96375,0.314375,0,5.0875,2.653125,4.355,0.726875,0
3.7833333333333337,0.36809523809523814,0.11666666666666667,0.5104761904761905,0.2895238095238095,0.36333333333333334,0,0,0,6.143809523809525,0,0,1.3295238095238096,1.6776190476190476,0.65,0.2419047619047619,0
0.8872222222222222,0,0.15444444444444444,0.27222222222222225,0.2122222222222222,0,0,0,0,0.6655555555555556,3.882222222222222,0,8.7155555555555555,1.6955555555555555,0,2.645555555555555,0
0,1.0685,0.12350000000000001,0,0,0,0,0,1.4825,2.7115,0,0,3.95,3.1375,1.0815,0.27749999999999997,0.329
0.261578947368421,0,0.498421052631579,0,0,1.0605263157894735,0,0,3.1726315789473687,0.8010526315789473,0.39210526315789473,0,8.001052631578949,0,0,1.233157894736842,0
3.3694117647058826,8.389411764705883,0.1252941176470588,0,0,0.17529411764705882,0,0,3.698823529411765,1.9776470588235293,0.4276470588235294,0,9.992941176470588,0,0,2.0070588235294116,0
1.3425,0,0.260625,1.28625,0,0.876875,0,0,1.93125,0.578125,0,0,7.573125,2.3825,0.52625,1.20625,0
0,0,0.09428571428571429,0,0,1.4142857142857144,0,0,1.9642857142857142,0.4414285714285714,0,0,4.508571428571428,2.1021428571428573,0,0.7914285714285715,0
0.9564999999999999,0,0.5035000000000001,0.525,0,1.0665,0,0,0.8859999999999999,0.85,0.1285,0,0,2.21,1.5574999999999999,0.14250000000000002,0
0,5.403888888888889,0.8427777777777777,0,0,0.9794444444444443,0,0,0.8705555555555555,1.822222222222222,0.19055555555555556,2.2511111111111113,0,2.0877777777777777,5.026666666666667,0.6011111111111112,0
0,0,0.3125,0,0,0,0,0,0,12.911875,0,0,0,0,0,0.245625,0
1.6455555555555557,0.33222222222222225,0.14333333333333334,0,0.15000000000000002,0.5444444444444445,0,0,1.8138888888888889,0,0,0,12.996111111111112,0.8761111111111111,0,0.8183333333333334,0
0,0,0.48357142857142854,0.3678571428571429,0.07357142857142858,1.9464285714285714,0,0,3.02,0,2.8964285714285714,0,15.652142857142858,0,1.3021428571428573,0.6857142857142857,0
0,0,0.28421052631578947,0,0.9463157894736842,2.93,0,0,0.7631578947368421,0,1.2568421052631578,1.0673684210526317,3.0121052631578946,0.57,2.3247368421052634,1.894736842105263,0
0,0,0.13695652173913042,0,0,0,1.2130434782608694,0.18565217391304345,1.136086956521739,0,0,3.6947826086956526,2.3347826086956522,0,2.5704347826086957,0.2217391304347826,0
4.410588235294118,2.262941176470588,0.28647058823529414,0,0,1.328235294117647,0,0.20470588235294118,0,0,0.5958823529411765,0,2.4352941176470586,3.6923529411764706,1.3811764705882352,1.2017647058823528,0
0.9986363636363635,0,0.29,0,0,0.4454545454545455,0,0,2.4172727272727275,0,0,0,1.2909090909090908,1.1113636363636363,0,0.8445454545454545,0.5931818181818183
3.6868421052631577,0,0.37,0,0,1.0068421052631578,0,0,1.043157894736842,0,1.0536842105263158,0,9.31578947368421,1.166842105263158,0,1.2131578947368422,0
0,0,0.11058823529411764,0,0,1.1841176470588235,0,0,1.2870588235294118,0,1.2911764705882351,1.2470588235294118,1.538235294117647,3.914705882352941,7.763529411764705,1.5658823529411765,0
5.1364705882352935,0,0.2823529411764706,0,0,2.4541176470588235,0,0,0,0,0.12764705882352942,0,2.760588235294118,2.5870588235294116,0.8776470588235294,0.38941176470588235,0
3.245,0,0.11214285714285714,0,0,3.187142857142857,0,0,0,0,0,0,1.9335714285714285,0.8521428571428571,5.2,0.5549999999999999,0
0,0,1.3441176470588236,0.998235294117647,0,1.0041176470588236,0,0,0,0,4.679411764705883,0.7105882352941176,6.94,2.1923529411764706,1.6529411764705884,3.023529411764706,0
1.0714285714285714,3.6485714285714286,0.8307142857142857,0.5771428571428572,0,0,0,0,0,0,0.9785714285714285,0,32.357142857142854,0,2.0907142857142857,5.307142857142857,0
0,0,0.5654545454545454,0,0,0,0,0,0,0,1.2390909090909092,0,16.722727272727273,0.5845454545454545,0,1.9027272727272726,0
0,2.4899999999999998,0.21294117647058824,0,0.7605882352941177,0,5.8629411764705885,0.4735294117647059,3.7158823529411764,0,0,0,0,0,0,0.7158823529411764,0.1411764705882353
0,0,0.49588235294117644,0,0.15,0,0,0,0,0,0,1.8735294117647059,0,2.9688235294117646,0,0,0.3805882352941176
1.5153333333333334,8.693333333333333,0.872,1.1353333333333333,1.23,2.258,0,0,0,0,1.3846666666666667,0,0,0.7566666666666666,2.9286666666666665,1.6900000000000002,0
5.9811764705882355,0,0.6923529411764706,0,0.44,3.922352941176471,0,0,0,0,2.0423529411764707,0,0,0,0,4.1364705882352935,0
0,0,0.29444444444444445,0,0,0.6572222222222223,0,0.4288888888888889,2.1666666666666665,0,0,0,0,0,0,0.3611111111111111,0.41
0,0,0.7576923076923077,0,0,4.3100000000000005,7.243846153846154,1.9769230769230768,0,0,0,0,0,9.282307692307693,0,0.7576923076923077,2.0330769230769232
