Leucanthemum vulgare,Centaurea jacea,Plantago lanceolata,Rumex acetosa,Festuca rubra,Holcus lanatus,Agrostis capillaris,Anthoxanthum odoratum
0,0,0,0,0,0,53.726,0
0,0,0,0,0,0,11.07,23.31
4.577500000000001,69.1425,5.505,6.4575,6.9399999999999995,0.73,2.71,25.965
0.5700000000000001,4.495,26.185000000000002,3.835,13.49,0,1.7249999999999999,18.595
0,68.88,0,0,0,1.57,4.54,22.41
3.2,62.86,0,0,0,0,1.73,30.25
11.66,0,0,0,18.22,0,11.77,21.58
0,0,26.68,0,6.26,0,8.45,13.18
0,0,5.51,0.09,0,0,31.54,31.86
0,53.91,0,0,0,0,24.59,0
11.65,115.83,0,0,15.89,0,5.22,0
2.07,41.05,0,0,0,4.6,16.22,0
0,0,0,0,20.134999999999998,0,47.504999999999995,0
0,0,2.72,0,4.04,3.12,17.24,0
0,0,0,7.12,66.97,31.31,7.14,0
0,0,13.35,2.39,28.05,0,33.63,0
0,0,0,0,0,11.79,22.21,0
0,0,16.74,19.26,0,28.38,7.34,0
6.5,0,0,0,0,0,100.34,0
3.91,0,14.57,13.66,0,0,30.25,0
0,0,33.15,0,0,0,26.39,0
0,0,0,0,0,0,0,24.306666666666665
0,49.62,0,0,0,0,0,28.18
0,51.27,0,0,1.25,0.19,0,14.99
0,137.09,0,2.43,6.74,0,0,28.87
2.55,65.53,0,0.06,0,0,0,18.91
0,0,0,0,25.09,0,0,26.65
4.71,0,5.64,0,35.84,0,0,13.44
0,0,0,0,0,5.23,0,21.36
5.03,0,0,0,0,0,0,25.9
3.64,0,26.86,0,0,0,0,13.69
0,0,0,11.62,0,0,0,30.3
0,76.64166666666667,0,0,0,0,0,0
0,42.77,0,5.95,9.75,18.23,0,0
0.14,29.98,18.29,0,0.22,0,0,0
0,24.5,42.41,3.3,16.18,0,0,0
0,71.05,0,0,0,3.3,0,0
3.59,34.68,0,7.74,0,16.02,0,0
24.32,52.18,0,0,0,0,0,0
0,38.4,23.47,0,0,0,0,0
0,71.09,0,6.640000000000001,0,0,0,0
0,0,0,0,44.818333333333335,0,0,0
0,0,0,0,30.98,2.49,0,0
6.25,0,0.84,0,28.61,3.13,0,0
1.54,0,0,0,46.33,0,0,0
0,0,48.36,0,25.87,0,0,0
0,0,0,0,0,40.30166666666667,0,0
1.04,0,27.76,0.92,0,7.97,0,0
0,0,19.11,0,0,27.6,0,0
0,0,0,6.71,0,27.97,0,0
20.488333333333333,0,0,0,0,0,0,0
2.46,0,33.7,0,0,0,0,0
25.85,0,0,56.31,0,0,0,0
0,0,37.488,0,0,0,0,0
0,0,28.29,0.97,0,0,0,0
0,0,0,15.976666666666667,0,0,0,0
