Leucanthemum vulgare,Centaurea jacea,Plantago lanceolata,Rumex acetosa,Festuca rubra,Holcus lanatus,Agrostis capillaris,Anthoxanthum odoratum
0,0,0,0,0,0,54.94833333333333,0
0,0,0,0,0,0,22.06,4.85
1.1166666666666667,39.39666666666667,22.62666666666667,26.793333333333333,10.13,0.39,6.423333333333334,11.143333333333334
0.10500000000000001,40.355000000000004,19.775,13.370000000000001,12.865,0,3.6550000000000002,5.83
0,127.4,0,0,0,1.62,16.85,11.29
0.25,123.74,0,0,0,0,23.47,9.11
0.11,0,0,0,28.04,0,14.6,2.47
0,0,29.13,0,12.66,0,7.03,0.99
0,0,23.4,36.31,0,0,8.13,7.47
0,46.28,0,0,0,0,21.56,0
0.15,42.39,0,0,32.15,0,12.98,0
1.79,29.1,0,0,0,1.21,43.91,0
0,0,0,0,36.82,0,12.22,0
0,0,0,15.3,41.36,1.18,21.02,0
0,0,23.05,23.98,27.24,0,5.01,0
0,0,0,0,0,1.55,68.66,0
0,0,24.42,14.02,0,2.96,10.2,0
5.32,0,0,0,0,0,49.11,0
0.05,0,30.51,6.78,0,0,18.2,0
0,0,15.03,0,0,0,11.34,0
0,0,0,0,0,0,0,23.93
0,118.82,0,0,0,0,0,10.18
0,30.65,0,0,27.02,0,0,6.3
0,62.85,0,41.11,42.07,0,0,4.6
0,56.76,0,4.36,0,0.5,0,19.98
1.1,111.81,0,55.01,0,0,0,23.6
0,0,0,0,45.1,0,0,0.9
0.54,0,25.43,0,14.46,0,0,0.68
0,0,0,0,0,7,0,14.63
0.82,0,38.76,0,0,0.36,0,12.7
8.2,0,0,0,0,0,0,30.18
0,0,0,88.35,0,0,0,35.4
0,128.275,0,0,0,0,0,0
0,93.02,0,3.99,32.27,1.28,0,0
0,30.04,18.22,0,14.31,0,0,0
0,37.73,20.73,15.84,29.01,0,0,0
0,84.73,0,0,0,3.26,0,0
5.54,64.78,0,18.21,0,7.41,0,0
2.2,130.96,0,0,0,0,0,0
0,72.35,25.49,0,0,0,0,0
0,136.45,0,60.52,0,0,0,0
0,0,0,0,44.95666666666666,0,0,0
0,0,0,0,56.36,0.18,0,0
0,0,25.63,0,14.5,0.04,0,0
4.79,0,0,0,49.99,0,0,0
0,0,16.34,0,21.67,0,0,0
0,0,0,51.48,64.01,0,0,0
0,0,0,0,0,36.055,0,0
0,0,23.46,0,0,2.32,0,0
0,0,0,36.73,0,7.3,0,0
16.655,0,0,0,0,0,0,0
0.71,0,27.11,0,0,0,0,0
17.71,0,0,35.46,0,0,0,0
0,0,32.23833333333334,0,0,0,0,0
0,0,45.97,97.35,0,0,0,0
0,0,0,44.97833333333333,0,0,0,0
