Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera
0,0,6.3933719298245615,0,0,0,0,0,0,0,0,0,0,0,0,0
1.053952380952381,1.2325238095238096,0.5634761904761905,0,0.8412857142857144,0,0,1.219857142857143,0.6825238095238095,4.638904761904762,1.4738095238095237,6.946809523809525,2.2158571428571427,0,0.2753809523809524,0
0,0,0.2438421052631579,0,0,0,0,0,1.892105263157895,2.7727894736842105,0.5412105263157895,0.8535263157894736,2.918421052631579,1.670157894736842,0.2517368421052632,0.5956315789473684
0,0,0.6527777777777778,0,1.3222222222222222,0,0,0,2.4583333333333335,4.621277777777778,0.7666666666666667,0.9805555555555555,1.1222222222222222,2.075944444444444,0.30927777777777776,0
0,0,0.37585,0,0,0,0,0,2.1875,7.4033500000000005,0,1.8425,2.36665,0,0,0
0,0,0.5275000000000001,0,0,0,0,0,1.8199999999999998,3.31,0,0,0.79085,1.105,0.49585,0.59085
0,1.6127777777777779,0.41738888888888886,0,2.9032222222222224,0,0,0,2.061222222222222,4.041666666666667,1.0983333333333334,0,7.4775,5.371111111111111,0,0
0,0,0.8737222222222223,0,0.5690555555555555,0,0,0,3.8562222222222227,7.133777777777777,2.412777777777778,0,5.917111111111111,2.1881666666666666,0,0
0,1.263695652173913,0.6768695652173913,0,0,0,0,0,1.6746521739130436,1.1505217391304348,1.3142608695652174,0,1.066,0,0,0
0,0.5657222222222222,0.6426111111111111,0,1.275,0,0,3.922222222222222,0,2.0277777777777777,0,2.197222222222222,1.6092777777777778,1.2972222222222223,0.24722222222222223,0
0,0,0.3979375,0,2.7729375,0,0,3.2260625,0,2.7635625,0,4.0051875,1.49375,5.884375,0.5260625,0
0,0,0.3134444444444444,0,1.1527777777777777,0,0,0,0,5.511111111111111,0,3.0560277777777776,2.6347222222222224,2.5388888888888888,0.39722222222222225,0
0,2.83,0.39886666666666665,0,5.36,0,0,0,0,0,0,4.934466666666666,0,0,0,0
0,0,0.2145625,0,0,0,0,0,0,6.7229375,0.7541875,2.9323125,1.3416875,1.6698125,0.8291875,0
0,0,0.506,0,0,0,0,0,0,7.327153846153847,0,8.298307692307691,0,0,2.482923076923077,0
0,0,0.22675,0,0,0,0,0,0,4.6764166666666664,0,1.2680277777777778,2.3803333333333336,1.9084722222222223,0.4642222222222222,0
0.90665,4.98165,1.17165,1.5175,0,0,0.27165,0,0,9.70835,0,0,0,0,0.7675,0
0,0,0.61,0,1.82665,0.24,0,5.18085,0,0,0,0,0,0,0.10585,1.1675
0,0,0.4782307692307692,0,0,4.485923076923077,0,1.6679230769230768,0,0,0,0,0,3.2179230769230767,0,0.6333076923076923
0,0,0.25835714285714284,0,0,1.3047857142857142,0,0,0,4.316642857142857,0,0,2.3892857142857147,2.064285714285714,0.6083571428571428,1.4559285714285715
0,0,2.226470588235294,0,1.6715882352941178,0,0,0,0,4.112764705882353,0,0,0,0,0,2.701
8.493713450292397,0,0.7502441520467837,0,0,0,0,0,0,0,0,0,0,0,0.5338538011695906,1.6640263157894737
0,0,0.5166428571428571,0,0,0,0,0,0,5.838071428571429,0.7440714285714286,0,3.8833571428571427,1.0190714285714286,0.5595,0.5380714285714286
1.2892857142857144,0,0.2690714285714286,0,4.3655,0,0,0,0,0,0,0,4.2785714285714285,0,0,0
0,0,0.5944166666666667,0,1.0302499999999999,0,0,0,0,7.524,0.8631666666666667,0,11.657666666666666,0,0.2185,0
0,1.5416666666666667,0.338875,0,1.7270833333333335,0,0,0,0,3.6944583333333334,0,0,0.9347083333333334,0.7840416666666666,0.286125,0
0,0.40170000000000006,0.3433,0,0,0,0,0,0,0,0,0,7.2966999999999995,0,0,0
0,0,0.6513076923076924,0,0,0,0,0,0,0,0,0,0,7.365384615384615,0,0
0,0,0,0,0,0,0,0,9.785911904761905,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.0107142857142857,3.1726428571428573,0,4.4012142857142855,3.7702142857142857,4.142857142857143,1.7405000000000002,0.37857142857142856
