Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Asclepias tuberosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera
0,0,3.1431971153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8446666666666667,3.804666666666667,0.13866666666666666,0,0.2886666666666667,3.082,0,0,0.6846666666666666,2.4680000000000004,7.098,0,7.65,3.4753333333333334,2.582,3.7146666666666666,0
0,0,0.5465,0.45999999999999996,0.389,0,0,0,0,1.376,5.135,0,3.825,2.7350000000000003,1.54,0.7085,0
1.28875,0,0.110625,0,0,3.08,0,0,5.364375,4.204375,0,0,1.239375,3.4375,0,1.135625,3.81125
1.514,0,0.261,0.5385,0,1.5785,0,0,1.991,1.136,3.2225,0,3.989,0.5660000000000001,0,1.8765,0
0,0,0.30142857142857143,0,0,1.8857142857142857,0,0,2.084285714285714,3.195,5.812857142857142,0,7.9750000000000005,1.6857142857142857,4.182142857142857,4.235714285714286,0
0,0,0.6583333333333333,0,0,0,0,0,5.835833333333333,0.6183333333333333,3.7291666666666665,0,7.960833333333333,3.154166666666667,3.265,2.3433333333333333,0
0.7605263157894736,2.7473684210526317,0.6563157894736843,0,0,0,0,0,0,1.3963157894736842,0,0,1.9315789473684213,2.6752631578947366,0,0.3273684210526316,0.41578947368421054
0,0,0.8105882352941176,0,0,0,0,0,0,4.0452941176470585,4.219411764705883,0,1.7135294117647057,4.957058823529412,0,1.2776470588235294,0.2423529411764706
0,0,0.14142857142857143,0,0,3.2871428571428574,0,0,0,1.0692857142857144,3.9014285714285712,0,3.358571428571429,3.762857142857143,0.9107142857142857,4.059285714285714,0
0.5109523809523809,1.4442857142857142,0.43238095238095237,0,0,0,0,0,0,2.5285714285714285,3.041904761904762,0,2.9547619047619045,2.7938095238095237,0.8833333333333334,1.934761904761905,0
1.5042105263157894,0,0.18842105263157896,0,0.1936842105263158,2.1094736842105264,0,0,7.630526315789473,2.1326315789473687,2.0789473684210527,2.0121052631578946,0,5.837894736842105,1.1957894736842105,3.1489473684210525,0
1.553809523809524,2.95,0.7533333333333333,0.7347619047619047,0,1.0571428571428572,0,0,2.472857142857143,0.6619047619047619,2.7047619047619045,0.9276190476190477,0,4.017619047619048,2.4180952380952383,1.638095238095238,0
0.905,0,0.22149999999999997,0.49400000000000005,0,1.6175000000000002,0,0,2.894,1.04,0.6065,0.43600000000000005,0,3.729,0.8865000000000001,0.9685,0
0,13.555263157894737,0.7173684210526317,0.58,0.1168421052631579,0,0,0,1.9647368421052631,0,3.5752631578947374,0,13.08578947368421,1.4457894736842105,0,2.5773684210526313,0
0,0,0.7094791666666667,0.6336875,0.6256875,0,0,0,0,0,4.966354166666667,0,16.639270833333335,1.5615,2.9096875,7.966312500000001,0
2.898823529411765,0,0.08823529411764706,0,0,0,0,0,2.7923529411764707,0,0,0,1.851764705882353,0,0,0.3370588235294118,0.37470588235294117
0,0,0.095,0,0,0,0,0,11.948,0,0,0,4.8229999999999995,0.567,0,1.8679999999999999,1.9949999999999999
1.27375,5.615625,0.6375,0.96875,0,2.595625,0,0,6.5425,0,3.98875,0,15.560625,0,0,3.376875,0
0,0,0.7711111111111112,0,0,2.36,0,0,3.896111111111111,0,3.625,0,5.597222222222222,1.0622222222222222,0,1.8816666666666666,0
0,0,0.4525,0,0,2.4327083333333333,0,0,6.4965,0,3.356395833333333,0,5.8334375000000005,3.3355208333333333,1.0515625,2.7878541666666665,0
0.8555555555555556,0,0.24166666666666664,0.7655555555555555,0,3.5999999999999996,0,0,0,0,1.7544444444444443,0,1.453888888888889,3.538888888888889,1.5544444444444445,1.9872222222222224,0.7261111111111112
1.196579365079365,0,0.2606448412698413,0,0,3.3022341269841267,0,0,0,0,4.448960317460317,0,4.12115873015873,2.8554265873015874,2.7388015873015874,2.399918650793651,0
0,2.7566666666666664,0.4666666666666667,0,0,0.9788888888888889,0,0,0,0,2.572222222222222,0,15.011111111111111,0.6566666666666667,1.917777777777778,4.107222222222223,0
0,2.0063636363636363,0.19727272727272727,0,0,16.672727272727272,0,0,0,0,0,0,21.575454545454548,0,1.2245454545454546,0.7727272727272727,0
0,0,0.23428571428571426,12.289285714285715,0,0,0,0,0,0,4.075,0.6378571428571428,2.3835714285714285,0,7.871428571428572,3.327142857142857,0
0,0,0.43230769230769234,0,0,0,0,0,0,0,6.199999999999999,0,13.011538461538462,4.353846153846154,0,3.6346153846153846,0
0,0,0.2423529411764706,0,0,1.6823529411764706,2.682352941176471,0.31941176470588234,6.59,0,0,0,0,0,0,0.4264705882352941,2.1
0,0,1.97,2.158666666666667,0,0,0.868,1.2213333333333334,0,0,3.3253333333333335,0,0,5.428,3.631333333333333,2.308,0.5113333333333333
