Leucanthemum vulgare,Centaurea jacea,Plantago lanceolata,Rumex acetosa,Festuca rubra,Holcus lanatus,Agrostis capillaris,Anthoxanthum odoratum
0,0,0,0,0,0,50.46,0
0,0,0,0,0,0,53.61,8.9
3.92,20.73,18.975,15.515,5.183333333333334,2.4116666666666666,4.638333333333334,2.76
0,66,0,0,0,6.26,8.63,4.32
2.15,58.76,0,0,0,0,18.11,5.14
0.94,0,0,0,17.14,0,15.74,2.45
0,0,39.54,0,8.49,0,8.03,2.05
0,0,31.24,5,0,0,3.99,4.75
0,33.49,0,0,0,0,13.79,0
2.58,16.55,0,0,27.68,0,23.19,0
1.37,22.59,0,0,0,6.95,26.49,0
0,0,0,0,30.18,0,24.09,0
0,0,18.46,0,5.67,0.82,2.51,0
0,0,0,7.48,19.36,6.14,23.39,0
0,0,20.75,25.92,18.21,0,2.36,0
0,0,0,0,0,19.01,37.71,0
0,0,23.19,13.5,0,3.22,5.04,0
13.15,0,0,0,0,0,27.95,0
2.79,0,21.27,12.92,0,0,14.66,0
0,0,18.97,0,0,0,16.56,0
0,0,0,0,0,0,0,33.62833333333333
0,70.39,0,0,0,0,0,9.18
0,25.69,0,0,19.77,3.92,0,10.33
0,43.88,0,30.46,24.54,0,0,9.59
0,37.49,0,3.45,0,9.97,0,5.54
3.32,53.67,0,35.44,0,0,0,18.2
0,0,0,0,52.23,0,0,7.22
3.14,0,24.67,0,13.38,0,0,3.66
0,0,0,0,0,40.76,0,6.11
1.69,0,30.33,0,0,1.28,0,2.89
16.81,0,0,0,0,0,0,12.06
0,0,0,61.81,0,0,0,24.5
0,78.695,0,0,0,0,0,0
0,46.64,0,4,15.57,2.8,0,0
4.2,23.07,28.56,0,21.2,0,0,0
0,26.46,13.36,9.19,11.25,0,0,0
0,29.66,0,0,0,18.06,0,0
5.71,22.52,0,32.2,0,17.83,0,0
2.03,80.15,0,0,0,0,0,0
0,52.6,13.9,0,0,0,0,0
0,71.81,0,19.02,0,0,0,0
0,0,0,0,49.38666666666667,0,0,0
0,0,0,0,33.85,18.17,0,0
0.32,0,22.69,0,9.28,4.04,0,0
8.38,0,0,0,28.28,0,0,0
0,0,23.48,0,13.63,0,0,0
0,0,0,21.92,42.63,0,0,0
0,0,0,0,0,44.28666666666667,0,0
0.82,0,33,2.14,0,2.38,0,0
0,0,25.32,0,0,1.28,0,0
0,0,0,8.59,0,24.09,0,0
13.636666666666667,0,0,0,0,0,0,0
0.59,0,19.33,0,0,0,0,0
12.01,0,0,43.17,0,0,0,0
0,0,29.988333333333333,0,0,0,0,0
0,0,23.99,59.1,0,0,0,0
0,0,0,38.23,0,0,0,0
