Leucanthemum vulgare,Centaurea jacea,Plantago lanceolata,Rumex acetosa,Festuca rubra,Holcus lanatus,Agrostis capillaris,Anthoxanthum odoratum
0,0,0,0,0,0,70.21333333333334,0
0,0,0,0,0,0,15.65,33.26
0.045,60.805,28.445,1.315,5.945,0.185,1.37,17.07
0,47.43,31.88,5.12,3.02,3.12,1.33,26.86
0,8.75,24.9,1.18,9.08,0,4.15,14.09
0,237.78,0,0,0,1.82,7.65,43.98
0.29,86.05,0,0,0,0,2.13,41.63
1.15,0,0,0,17.43,0,19.47,20.99
0,0,24.79,0,16.27,0,6.03,17.14
0,0,51.27,0.41,0,0,3.01,12.98
0,61.94,0,0,0,0,34.13,0
0.65,113.26,0,0,49.12,0,2.27,0
4.93,77.95,0,0,0,13.73,21.28,0
0,0,0,0,59.57,0,38.16,0
0,0,26.7,0,22.58,0.61,5.29,0
0,0,0,4,49.7,19.86,8.96,0
0,0,16.57,27.79,24.14,0,7.64,0
0,0,0,0,0,12.19,48.47,0
0,0,10.79,55.32,0,73.86,21.36,0
6.32,0,0,0,0,0,92.43,0
1.32,0,49.39,10.08,0,0,8.13,0
0,0,18.84,0,0,0,34.85,0
0,0,0,0,0,0,0,46.56
0,105.1,0,0,0,0,0,31.66
0,32.6,0,0,2.84,0.67,0,18.96
0,67.91,0,39.64,17.28,0,0,36.05
0.8,194.24,0,18.51,0,0,0,19.18
0,50.92,0,0.22,0,0,0,26.67
0,0,0,0,29.63,0,0,13.63
0,0,15.12,0,18.84,0,0,19.49
0,0,0,0,0,1.34,0,31.17
0,0,27.89,0,0,0.95,0,31.43
0,0,0,9.94,0,0,0,53.21
0,113.49333333333334,0,0,0,0,0,0
0,57.26,0,1.62,21.05,10.91,0,0
0,45.46,13.18,0,26.94,0,0,0
0,23.44,33.94,3.08,36.12,0,0,0
0,84.74,0,0,0,48.51,0,0
9.53,50.59,0,13.52,0,33.58,0,0
7.92,101.15,0,0,0,0,0,0
0,131.94,59.63,0,0,0,0,0
0,191.92,0,13.11,0,0,0,0
0,0,0,0,65.59333333333333,0,0,0
0,0,0,0,65.5,3.58,0,0
0,0,30.64,0,28.11,0.89,0,0
5.12,0,0,0,36.14,0,0,0
0,0,31.16,0,15.55,0,0,0
0,0,0,28.4,75.12,0,0,0
0,0,0,0,0,56.778333333333336,0,0
0.1,0,15.17,1.75,0,25.05,0,0
0,0,23.12,0,0,20.66,0,0
0,0,0,7.12,0,31.36,0,0
17.85,0,0,0,0,0,0,0
0.21,0,32.81,0,0,0,0,0
29.81,0,0,43.21,0,0,0,0
0,0,38.861666666666665,0,0,0,0,0
0,0,54.84,32.88,0,0,0,0
0,0,0,27.673333333333332,0,0,0,0
