Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Asclepias tuberosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera
0,0,1.4691666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.32045454545454544,0.29545454545454547,0.6990909090909091,0,0,0,0,1.0999999999999999,0.3477272727272727,0,10.938636363636364,0,3.078181818181818,2.201363636363636,0
1.0513636363636363,1.3122727272727273,0.10454545454545454,0,0,0,0,0,0,3.7613636363636362,0,0,3.430454545454545,1.2559090909090909,1.000909090909091,0.5036363636363637,0
3.019545454545455,1.135,0.09090909090909091,0,0.10772727272727273,0,0,0,1.7713636363636363,0,0.1740909090909091,0,3.2145454545454544,0,0,0,0
0,5.907727272727272,0.7599999999999999,0,0.4454545454545455,0,0,0,1.0272727272727273,0,0.35363636363636364,0,8.60909090909091,0.5509090909090909,0.7445454545454545,1.000909090909091,0
0,0,0.12642857142857142,0,0,0,0,0,4.067857142857143,0,0,0,3.1407142857142856,0,0,0,0.8342857142857143
2.4013636363636364,0,0.1740909090909091,0,0,1.6181818181818182,0,0,0.81,0,0,0,6.091818181818183,0.5327272727272727,0,0.7809090909090909,0
1.3577272727272727,4.553636363636364,0.13045454545454546,0.1831818181818182,0,0,0,0,0.615909090909091,0,0.54,0,6.069545454545454,0,1.969090909090909,0.9986363636363635,0
4.705454545454545,1.5590909090909089,0.12409090909090909,0,0,0,0,0,1.3513636363636363,0,0.22363636363636363,0,2.700909090909091,0.5440909090909091,2.2468181818181816,0,0
0,0,0.5214285714285714,0,0,0,0,0,3.1680952380952383,0,0.3119047619047619,0,4.288095238095238,1.1157142857142857,2.4666666666666663,0.9038095238095238,0
2.0636363636363635,0,0.1159090909090909,0,0,1.0636363636363635,0,0,0,0,0.3668181818181818,0,2.674090909090909,0,4.155454545454545,1.0113636363636365,0
0,5.195454545454545,0.06681818181818182,0,0,0.6145454545454545,0,0,0,0,0.734090909090909,0,2.6445454545454545,0,1.9672727272727273,0,0
1.375909090909091,0,0.11136363636363637,0.15772727272727274,0,0,0,0,0,0,1.7863636363636362,0,3.4372727272727275,0.619090909090909,0,1.8168181818181817,0
0,0,0.7081818181818181,0.649090909090909,0,0,0,0,0,0,1.008181818181818,0,17.11909090909091,0.6081818181818183,3.2886363636363636,1.4986363636363635,0
0,0,0.6038461538461538,0,0,0,0,0,0,0,1.0946153846153845,0,17.021538461538462,0,0,1.9346153846153844,0
0,0,0.07142857142857142,0,0,0,0,0.2392857142857143,1.9907142857142859,0,0,0,0,0,0,0.9964285714285713,0.15
0,0,0.13785714285714284,0,0,0,3.605,2.309285714285714,0,0,0,0,0,0,4.496428571428572,0,0.15142857142857144
0,7.428,0.06666666666666667,0,0,2.11,3.788,0.168,0,0,0,0,0,0,0,1.1786666666666668,0
0,0,0.382,0.7033333333333334,0,0,0,0.39866666666666667,0,0,0.788,0,0,3.0446666666666666,5.368666666666667,1.3479999999999999,0.13133333333333333
0.85,5.907727272727272,0.47363636363636363,0.14772727272727273,0,0.7377272727272728,0,0,2.1704545454545454,0,0,1.0250000000000001,0,0.8045454545454546,3.965909090909091,0.5195454545454545,0
8.357692307692307,0,0.07153846153846154,0,0,0,0,0,6.825384615384616,0,0.17307692307692307,0,0,0,0,0,0
0,1.299090909090909,0.08318181818181819,0,0,0,0,0,1.5340909090909092,0,0.26681818181818184,0.765909090909091,0,1.074090909090909,3.305909090909091,0.7818181818181817,0
0,0,0.11153846153846153,0,0,0,0,0,4.883076923076922,0,0,0.8846153846153846,0,5.913846153846153,0,0,0
3.952142857142857,0,0.42857142857142855,0,0,6.194285714285714,2.177142857142857,0,0,0,0.6664285714285715,0,0,0,0,0,0.23714285714285713
4.694090909090909,3.962727272727273,0.11499999999999999,0,0,1.8886363636363634,0,0,0,0,0.15227272727272728,0,0,1.4740909090909091,2.851363636363636,0.9486363636363637,0
1.2942857142857143,1.625,0.37,0.8607142857142858,0,0,0,0,0,0,0,1.7192857142857143,0,6.776428571428572,0,0,0
0,0,0.07923076923076923,0,0,0,0,0,0,0,0,1.0592307692307692,0,2.1823076923076923,0,0,0
0,4.663,0.16699999999999998,0,0,0,0,0,0,0,0,0,0,3.6700000000000004,0,0,0
0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,13.654285714285715,0,0
0,0,0,0,0,0,0,0,0,35.55666666666667,0,0,0,0,0,0,0
0,0,0,0,0.16818181818181818,0,0,0,2.821818181818182,3.4713636363636367,0,0,2.351363636363636,1.7104545454545457,0.5068181818181818,1.0486363636363636,0.11499999999999999
0,6.5195454545454545,0,0,0.9,0.5840909090909091,0,0,0.6713636363636364,1.1554545454545455,1.0736363636363637,0,3.6672727272727275,0.535,2.247727272727273,1.2795454545454545,0
0,0,0,0,0.07363636363636364,0.6022727272727273,0,0,1.5127272727272727,1.405909090909091,0,0,2.5713636363636363,0.6727272727272727,0.6218181818181818,0,0
3.561363636363636,0,0,0.14,0,1.6045454545454545,0,0,0.9159090909090909,1.3531818181818183,0,0,4.209090909090909,0,1.0190909090909093,1.5,0
0,4.198636363636364,0,0,0,0,0,0,0.6031818181818182,1.8645454545454547,0.33954545454545454,0,2.5327272727272727,1.4445454545454546,3.5704545454545453,0.6509090909090909,0
1.4013636363636364,0,0,0,0,1.1218181818181818,0,0,0,1.9922727272727272,1.8218181818181818,0,1.4531818181818181,0.54,2.7854545454545456,0,0.27045454545454545
0,0,0,0,0,0,0,0,0,4.076363636363637,0,0,2.174090909090909,0.8377272727272728,1.6272727272727272,0.36363636363636365,0.2781818181818182
1.3818181818181818,0,0,0,0,0.8159090909090909,0,0,0,1.8181818181818181,0,0,0,1.4304545454545454,1.2531818181818182,0,0.13318181818181818
0,0,0,0,0,0,0,0,0,0,0,0,8.233333333333334,0,0,0,0
0,0,0,0,0,0,1.325,0.6521428571428572,1.6807142857142858,0,0,0,1.1407142857142858,3.107142857142857,1.1071428571428572,0,0
0,0,0,0,0,0,3.162,0.837,0,0,0,0,9.287,0,0,0,0
0,0,0,0,0,3.685714285714286,2.1142857142857143,1.5335714285714286,0,0,0,0,4.839285714285714,3.5892857142857144,0,0.63,0.5264285714285715
1.0678571428571428,0,0,0,0,0,0,2.0264285714285717,0,0,0,0,5.83,5.127142857142857,0,0,0.3092857142857143
0,0,0,0,0,0.865909090909091,0,0,1.5795454545454546,0,0.3590909090909091,0,5.415909090909091,0.6422727272727273,3.11,1.34,0
0,0,0,0,0,1.0976923076923077,0,0,5.128461538461538,0,2.163076923076923,0,12.63846153846154,0.95,0,0,0
5.1770000000000005,0,0,0,0,0,0,0,5.329,0,0,0,2.113,0,0,0,0
1.435,0,0,0,0,0,0,0,0.6272727272727273,0,0.3986363636363636,0,11.21,0,0,0.81,0
1.3554545454545455,2.808409090909091,0,0,0,0,0,0,1.1204545454545454,0,1.481818181818182,0,3.598863636363636,0.6981818181818182,1.5438636363636364,0.8625,0
0,0,0,0,0,0,0,0,10.985555555555557,0,0,0,5.199999999999999,17.65,0,1.8355555555555556,0
0,0,0,0,0,0,0,0,0,0,0,0,14.047142857142857,0,0,0,0.3028571428571429
0,1.6035714285714284,0,0,0,0,0,0,0,0,0,0,3.3035714285714284,0,0,0,0.34785714285714286
1.4281818181818182,7.365,0,0,0,1.315909090909091,0,0,0,0,0.45772727272727276,0.9395454545454546,2.3636363636363638,1.8877272727272727,0,0.6727272727272727,0
0,0,0,0,0,1.1727272727272728,0,0,0,0,0.2127272727272727,0,2.340909090909091,1.2454545454545454,3.3704545454545456,1.3954545454545455,0
0,1.0985714285714285,0,0,0,0.7192857142857143,0,0,0,0,1.6842857142857142,0,8.194285714285714,0,0.8550000000000001,2.0621428571428573,0
0,0,0,0,0,2.0136363636363637,0,0,0,0,0,0.4818181818181818,6.367272727272728,0,3.9149999999999996,0.8013636363636363,0
6.4399999999999995,0,0,0,0,0,0,0,0,0,0,0,10.781428571428572,0,0,0,0
2.507727272727273,0,0,0.3854545454545455,0,0,0,0,0,0,0.15681818181818183,0,1.619090909090909,1.7850000000000001,0,0.5963636363636363,0
3.674090909090909,0,0,0,0,0,0,0,0,0,0,0.5218181818181818,5.078636363636364,1.8509090909090908,1.1295454545454546,0.32136363636363635,0
0,0,0,0,0,0,0,0,0,0,5.524285714285715,0,35.597142857142856,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2.9164285714285714,0,14.416428571428572,0,3.937857142857143,2.525,0
0,0,0,0,0,0,0,0,0,0,0.75,0,18.05777777777778,2.157777777777778,0,0,0
0,2.02,0,0.34199999999999997,0,0,0,0,0,0,0,0,6.409999999999999,0,1.123,0,0
0,0,0,0,1.1516666666666666,0,0,0,0,0,0,0,0,0,0,0,0
18.232857142857142,0,0,0,1.502857142857143,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.8857142857142857,0,0,0,0,0,0.2814285714285714,0,0,0,0,0,0
0,0,0,0,0,0,3.8146666666666667,0.08333333333333333,2.9753333333333334,0,0,0,0,0,0,0,0.292
0,15.428666666666667,0,0.228,0,0,1.3679999999999999,0.2886666666666667,3.698,0,0,0,0,0,0,0.738,0
0,0,0,0,0,0,2.248,0.08299999999999999,1.077,0,0,3.437,0,0,0,0,0
0,0,0,0,0,0,9.733333333333333,1.02,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,20.7525,3.25,0,0,0,0,0,0,0,0,1.1025
